index,venue,city
V001,Punjab Cricket Association Stadium,Mohali
V002,Sardar Patel Stadium,Motera
V003,M Chinnaswamy Stadium,Bangalore
V004,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
V005,Feroz Shah Kotla,Delhi
V006,JSCA International Stadium Complex,Ranchi
V007,Shaheed Veer Narayan Singh International Stadium,Raipur
V008,Saurashtra Cricket Association Stadium,Rajkot
V009,Holkar Cricket Stadium,Indore
V010,Green Park,Kanpur
V011,M.Chinnaswamy Stadium,Bengaluru
V012,Sawai Mansingh Stadium,Jaipur
V013,Punjab Cricket Association IS Bindra Stadium,Chandigarh
V014,Rajiv Gandhi International Stadium,Hyderabad
V015,Sheikh Zayed Stadium,Abu Dhabi
V016,Wankhede Stadium,Mumbai
V017,MA Chidambaram Stadium,Chennai
V018,Narendra Modi Stadium,Ahmedabad
V019,Arun Jaitley Stadium,Delhi
V020,Zayed Cricket Stadium,Abu Dhabi
V021,Dubai International Cricket Stadium,Dubai
V022,Sharjah Cricket Stadium,Sharjah
V023,Maharashtra Cricket Association Stadium,Pune
V024,Brabourne Stadium,Mumbai
V025,Eden Gardens,Kolkata
V026,Dr DY Patil Sports Academy,Mumbai
V027,Newlands,Cape Town
V028,St George's Park,Port Elizabeth
V029,Kingsmead,Durban
V030,SuperSport Park,Centurion
V031,Buffalo Park,East London
V032,New Wanderers Stadium,Johannesburg
V033,De Beers Diamond Oval,Kimberley
V034,OUTsurance Oval,Bloemfontein
V035,Barabati Stadium,Cuttack
V036,Vidarbha Cricket Association Stadium,Jamtha
V037,Himachal Pradesh Cricket Association Stadium,Dharamsala
V038,Nehru Stadium,Kochi
V039,Subrata Roy Sahara Stadium,Pune
